Date,Open,High,Low,Close,Adj Close,Volume
2021-11-23,3612.5,3637.5,3550.0,3575.0,3088.643310546875,63127600
2021-11-24,3562.5,3587.5,3550.0,3575.0,3088.643310546875,56217000
2021-11-25,3612.5,3687.5,3587.5,3675.0,3175.038818359375,97473400
2021-11-26,3662.5,3662.5,3537.5,3550.0,3067.04443359375,78633400
2021-11-29,3550.0,3637.5,3462.5,3587.5,3099.44287109375,112673000
2021-11-30,3625.0,3625.0,3475.0,3500.0,3023.8466796875,219340400
2021-12-01,3500.0,3562.5,3475.0,3537.5,3056.244873046875,93119800
2021-12-02,3537.5,3625.0,3500.0,3600.0,3110.242431640625,70416400
2021-12-03,3600.0,3612.5,3550.0,3575.0,3088.643310546875,46109400
2021-12-06,3575.0,3625.0,3550.0,3587.5,3099.44287109375,52050400
2021-12-07,3587.5,3650.0,3587.5,3650.0,3153.440185546875,64289400
2021-12-08,3637.5,3650.0,3575.0,3575.0,3088.643310546875,56064200
2021-12-09,3625.0,3675.0,3562.5,3675.0,3175.038818359375,42688600
2021-12-10,3600.0,3612.5,3550.0,3600.0,3110.242431640625,93532200
2021-12-13,3600.0,3612.5,3562.5,3562.5,3077.84423828125,50091200
2021-12-14,3562.5,3600.0,3550.0,3587.5,3099.44287109375,65061400
2021-12-15,3575.0,3662.5,3562.5,3637.5,3142.640625,75677400
2021-12-16,3650.0,3662.5,3600.0,3625.0,3131.841064453125,69082400
2021-12-17,3612.5,3612.5,3537.5,3575.0,3088.643310546875,83945200
2021-12-20,3550.0,3575.0,3537.5,3537.5,3056.244873046875,57932600
2021-12-21,3575.0,3625.0,3550.0,3575.0,3088.643310546875,49859600
2021-12-22,3587.5,3600.0,3525.0,3525.0,3045.445556640625,34814400
2021-12-23,3525.0,3575.0,3525.0,3537.5,3056.244873046875,44565000
2021-12-24,3550.0,3575.0,3475.0,3525.0,3045.445556640625,54902200
2021-12-27,3525.0,3550.0,3487.5,3500.0,3023.8466796875,34096400
2021-12-28,3525.0,3525.0,3487.5,3525.0,3045.445556640625,39835400
2021-12-29,3537.5,3562.5,3500.0,3550.0,3067.04443359375,20860200
2021-12-30,3550.0,3562.5,3512.5,3512.5,3034.646240234375,34951600
2022-01-03,3550.0,3562.5,3512.5,3525.0,3045.445556640625,30999600
2022-01-04,3537.5,3600.0,3525.0,3587.5,3099.44287109375,44541400
2022-01-05,3575.0,3587.5,3462.5,3512.5,3034.646240234375,98910200
2022-01-06,3537.5,3537.5,3475.0,3512.5,3034.646240234375,65651200
